H_en	Concepticon_ID	Concepticon_Gloss
an ethnic group of Muslim faith in Mediaeval Hungary		
a water plant, Stratiotes aloides		
a water plant, Stratiotes aloides		
a water plant, Stratiotes aloides		
whip, lash	2630	WHIP
whip, lash	2630	WHIP
whip, lash	2630	WHIP
saddle strap		
saddle strap		
bridle, reins		
measles	3389	MEASLES
trap, snare	1075	TRAP (PITFALL)
gate	2940	GATE
arm	1673	ARM
damage, loss	2947	DAMAGE (INJURY)
man of grit, stout fellow		
sheepfold, cattlegrid, stockyard, a yard encircled by a fence, shedfor animals		
pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ	3446	PINK
pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ	3446	PINK
stake, pale, stick	1295	STICK
a fishing water bird with black feathers, cormorant,Phalacrocorax carbo	840	CORMORANT
sparrow hawk, Accipiter n. nisus		
chicory, Cichorium sp., Cichorium intybus		
an ethnic name, Kazar		
bosom, breast	1402	BREAST
goat, Capra hircus	1502	GOAT
blue	837	BLUE
trousseau, dowry, gift given with the bride or bridegroom	3168	DOWRY
hemp, Cannabis	2041	HEMP
mercury		
picture, shape, form	2401	PICTURE
shock, shook, sheaves placed crosswise, also a unit of grain paid orgiven		
a kind of ship		
to ruminate (of bovines)	3680	RUMINATE
cud		
garden, place for animals	586	GARDEN
vulture, Vultur	1185	VULTURE
to be, become late	1579	BE
small, little	1246	SMALL
small, little	1246	SMALL
small	1246	SMALL
small, little	1246	SMALL
felt	325	FELT
wild/meadow saffron, Colchicum autumnale; lions tooth, Taraxacum	2230	UNTAMED OR WILD
a bird similar to a falcon, a kind of bird of prey		
pain	1783	PAIN
gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat	1256	HEAD
lute, cittern	2681	LUTE
to beg, to mendicate	3534	BEG
beggar	1934	BEGGAR
beggar	1934	BEGGAR
hops, Humulus lupulus	3316	HOPS
timothy-grass, phleum, Phleum sp.		
a kind of Hungarian sheepdog		
gloomy, grave, morose, sombre, dull-coloured; not properly castrated	1773	GRAVE
coffin	2011	COFFIN
age, period	1789	AGE
tomb, small hill, elevated, dry place in a marsh	1773	GRAVE
dry stalk of weed		
soot	830	SOOT
ram	1344	RAM
burn	2102	BURN
frock, sheepskin waistcoat		
frock, sheepskin waistcoat		
blackthorn, Prunus spinosa		
loan		
the navel; various parts of agricultural and other instruments,around which something turns or rotates or which is in the centre	1838	NAVEL
young of an animal, kid, puppy, lad	1972	KID
pounder, beater, small mortar	2459	GRINDSTONE
breast strap		
breast strap		
book	963	BOOK
book	963	BOOK
stumpy, a small, thick man	1246	SMALL
a kind of Hungarian sheepdog, komondor		
cloak, gown, overcoat	326	CLOAK
churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)	88	BEEHIVE
ash tree, Fraxinus sp.		
mellow, powdery, crumbly, rotten, mouldy	1728	ROTTEN
pear, Pyrus communis	922	PEAR
pear, Pyrus communis	922	PEAR
to greet, to thank	3552	GREET
the Cuman ethnic group in Hungary		
a kind of dog, a Hungarian breed of sheepdog		
laughing bird, Picus viridis		
a fish living at the bottom of the river, gudgeon, Gobio fluviatilis		
laughing bird, Picus viridis		
dry summer fog, rainbow	1733	RAINBOW
the name of a group of military people in Hungary,the Cuman bodyguard to the Hungarian king		
chaff, husks, winnowings, tailings, refuse of grain	2363	CHAFF (HUSK)
cause, reason	860	CAUSE
to teach	709	TEACH
sty, cattle pen, sheepfold		
cheap	1887	CHEAP
kid (of a goat)	1972	KID
sperm, seminal fluid	1505	SPERM
crumb (of bread), morsel, a small piece of bread		
crumb (of bread), morsel, a small piece of bread		
Russian		
lion	1386	LION
spindle, whorl	277	SPINDLE
thief	1160	THIEF
physician	597	PHYSICIAN
cune in play in ostábla		
ox	1169	OX
to stitch, to put on a dress		
hawk, buzzard, Buteo buteo	307	HAWK
to take root, to grow stronger (plant, animal)	619	ANIMAL
to grind, mill	1033	GRIND
milling product		
Armenian		
eternal		
to rejoice, to be glad	2192	REJOICE
to become mad		
whirlpool, eddy	1982	WHIRLPOOL
whirlpool, eddy	1982	WHIRLPOOL
whirlpool, eddy	1982	WHIRLPOOL
whirlpool, eddy	1982	WHIRLPOOL
whirlpool, eddy	1982	WHIRLPOOL
whirlpool, eddy	1982	WHIRLPOOL
flood, deluge, stream	947	STREAM
cheese	1569	CHEESE
cheese	1569	CHEESE
mud, marsh	640	MUD
yellow	1424	YELLOW
yellow	1424	YELLOW
dragon	2038	DRAGON
sickle	341	SICKLE
a type of wild onion, Ornithogalum		
footwear, sandals		
tent	1316	TENT
fast, quick	1631	FAST
to sweep, to broom	230	SWEEP
broom	245	BROOM
draff, lees, dregs of wine		
draff, lees, dregs of wine		
to injure, to hurt	44	INJURE
army, troops, crowd	1561	ARMY
a nit	267	NIT
cup, goblet	476	CUP
also short sheaves used to strengthen athatched roof		
even, flat, open (water)	1633	FLAT
smooth, simít	1234	SMOOTH
running water, running channel under a mill		
spring, well, brook	1537	SPRINGTIME
much, many	1198	MANY
falcon	3258	FALCON
falcon	3258	FALCON
dogwood (tree), cornel, Cornus		
dogwood (tree), cornel, Cornus		
beer	1639	BEER
sterlet, sturgeon, Acipenser stellatus, ruthenus	3606	STURGEON
pike perch, zander, Stizostedion lucioperca		
scurvy		
dense, thick (of woods or soup)	2239	DENSE
brother-in-law	2314	BROTHER-IN-LAW
brother-in-law	2314	BROTHER-IN-LAW
mirage		
uvula, the recurved point of a fishing hook or a lance, red wattle on a chicken	2293	UVULA
beard	678	BEARD
raft	1664	RAFT
number	1356	NUMBER
to have pity for, to regret	1875	REGRET
to wish, to intend something for somebody/something, to devote	2117	DESIRE
trousseau box		
bucket, wooden pail (with a handle)	2052	BUCKET
light-coloured, yellowish, pale, (partly) bald	1125	BALD
wing	1257	WING
grocer, grand handler		
chair, seat, bench, throne	1476	CHAIR
wind	960	WIND
to slumber, to doze		
to slumber, to doze		
beautiful	1427	BEAUTIFUL
freckle, sun spot, stain	530	FRECKLE
part of a village, street, group of people; row, line, order	1362	STREET
threshing floor (round)		
fumes, vapour, spirits, alcohol, humours	404	ALCOHOL (FERMENTED DRINK)
colour, face, external appearance, the best part of something, the upperpart of something	1560	FACE
thin hide rope, strap (used for embroidery or as a whip), refrozen thin layer after the melting of snow	2973	STRAP
thin hide rope, strap (used for embroidery or as a whip), refrozen thin layer after the melting of snow	2973	STRAP
rock, cliff, occiput, crest (of mountain)	992	CLIFF
word	1599	WORD
a kind of falcon, Pielfalcus, Gyrfalco		
to spread, to scatter, to winnow	3705	SCATTER
grasshopper	607	GRASSHOPPER
to leap, to jump, to escape, to flee	1829	JUMP
grape, wine grape, Vitis vinifer	920	GRAPE
grape, wine grape, Vitis vinifer	920	GRAPE
mosquito, gnat, Culex pipens	1509	MOSQUITO
furrier		
to cease, to stop	1928	CEASE
to strain, to filter	940	STRAIN
virgin, pure	1147	PURE
sorcerer, medicine man	394	SHAMAN (FOLK HEALER)
advice; council		
witness	1144	WITNESS
to feed, to nourish	739	FEED
tinder, tinder fungus, Fomes fomentarius		
bald	1125	BALD
depot: tárház		
plough field, arable field, stubble field		
to hold, carry; to last, visszatart	1448	HOLD
Tatar		
name of several kinds of plants, e.g. Anemosphoros, Buniasorientalis, Napus, Crambe tatarica; storm wind		
name of several kinds of plants, e.g. Anemosphoros, Buniasorientalis, Napus, Crambe tatarica; storm wind		
to wind something round, to twist	430	TWIST
trough, wash tub, hutch	205	TROUGH
strap (on a whip, or on a kind of sandal)	2973	STRAP
a piece of land, field, parcel, patch, a higher place where animals rest and accumulate dung	212	FIELD
to vegetate, to linger in misery		
axle	1769	AXLE
sea	1474	SEA
to turn, to change the original direction	1588	TURN
to turn, to change the original direction	1588	TURN
knee	1371	KNEE
hall, chamber, great room		
camel	1871	CAMEL
hemp breaker, swingle, scutch		
steer, young bullock, ox	1169	OX
to lay eggs	2464	LAY EGGS
to lay eggs	2464	LAY EGGS
sturgeon, Acipenser sturio	3606	STURGEON
one-year-old lamb		
interpreter	3744	INTERPRETER
horseradish, Armoracia rusticana		
to pile up, to become blocked	1576	PILE UP
to pile up, to become blocked	1576	PILE UP
a kind of small falcon, Falco columbarius aescalon		
Slovak		
perfect		
innumerable		
to break (also e.g. hemp, salt, pepper), to separate into pieces, to break,to crush	1520	CRUSH
snare, trap	1075	TRAP (PITFALL)
Turk, Turkish, Turkic, Ottoman		
to happen, to occur	248	HAPPEN
law	1062	LAW
peat, turf, dried dung		
steer, young bullock, ox or cow	1007	COW
cottage cheese, cheese curds		
the totem bird of the Árpád dynasty, a bird of prey		
bustard, Otis		
mirror	1171	MIRROR
mirror	1171	MIRROR
to endure, suffer, bear, stand	833	ENDURE
to roll up (a scroll or ones sleeves)		
hen	1514	HEN
owl, Strix	735	OWL
gentleman, lord, sir, high dignity, Lord (also of a king or of God)	3153	LORD
to refresh oneself, to rest, to become cured	168	REST
feast, ünnepnap		
heifer, roe doe		
ground squirrel, Citellus citellus		
ground squirrel, Citellus citellus		
wormwood, Artemisia; bitterness	887	BITTER
wormwood, Artemisia; bitterness	887	BITTER
wether, sheep	1331	SHEEP
hot embers, extinguished embers		
hot embers, extinguished embers		
one-year-old female sheep		
to hollow out, to scoop out	46	HOLLOW OUT
trough, tray	205	TROUGH
fishweir		
a hole in the ice (for fishing)		
a hole in the ice (for fishing)		
guest	1782	GUEST
to plait, to lay the rope	3295	BRAID (VERB)
gable, frontispiece		
chamois, Rupicapra rupicapra		
