ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE
1294	H	army, troops, crowd	šereg	šereg	ʃ ɛ r ɛ ɡ	
1295	OH	army, troops, crowd	šerig	šerig	ʃ ɛ r i ɡ	
1296	EAH	army, troops, crowd	čärig	čärig	t͡ʃ ɛ r i ɡ	
1297	WOT	army, troops, crowd	čärig	čärig	t͡ʃ ɛ r i ɡ	
1080	H	ash tree, Fraxinus sp.	kȫriš	kȫriš	k øː r i ʃ	
1081	OH	ash tree, Fraxinus sp.	kǖriš	kǖriš	k yː r i ʃ	
1082	EAH	ash tree, Fraxinus sp.	kewrič	kewrič	k ɛ w r i t͡ʃ	
1083	WOT	ash tree, Fraxinus sp.	kevrič	kevrič	k ɛ v r i t͡ʃ	
1577	H	axle	tengelʹ	tengelʹ	t ɛ n ɡ ɛ ʎ	
1578	EAH	axle	tengel	tengel	t ɛ n ɡ ɛ l	
1579	WOT	axle	teŋäl	teŋäl	t ɛ ŋ ɛ l	
240	H	badger, Meles meles	borz	borz	b o r z	
241	EAH	badger, Meles meles	borsi	borsi	b o r s i	
242	WOT	badger, Meles meles	borsï	borsï	b o r s ɯ	
1537	H	bald	tår	tår	t ɒ r	
1538	EAH	bald	tar	tar	t a r	
1539	WOT	bald	tar	tar	t a r	
73	H	barley, Hordeum	ārpå	ārpå	aː r p ɒ	
74	EAH	barley, Hordeum	arpa	arpa	a r p a	
75	WOT	barley, Hordeum	arpa	arpa	a r p a	
38	H	barrel (wooden container andstandard quantity)	āltålåg	āltålåg	aː l t ɒ l ɒ ɡ	
39	EAH	barrel (wooden container andstandard quantity)	altalag	altalag	a l t a l a ɡ	
40	WOT	barrel (wooden container andstandard quantity)	altïlïg	altïlïg	a l t ɯ l ɯ ɡ	
41	H	barrel (wooden container andstandard quantity)	ātålåg	ātålåg	aː t ɒ l ɒ ɡ	
42	EAH	barrel (wooden container andstandard quantity)	altalag	altalag	a l t a l a ɡ	
43	WOT	barrel (wooden container andstandard quantity)	altïlïg	altïlïg	a l t ɯ l ɯ ɡ	
76	H	barrow	ārtāń	ārtāń	aː r t aː ɲ	
77	EAH	barrow	aritan	aritan	a r i t a n	
78	WOT	barrow	arïtan	arïtan	a r ɯ t a n	
1374	H	beard	såkāll	såkāll	s ɒ k aː l l	
1375	EAH	beard	sakal	sakal	s a k a l	
1376	WOT	beard	sakal	sakal	s a k a l	
1437	H	beautiful	sēp	sēp	s eː p	
1438	EAH	beautiful	sip	sip	s i p	
1439	WOT	beautiful	sip	sip	s i p	
329	H	beech	bük	bük	b y k	
330	EAH	beech	bik	bik	b i k	
331	WOT	beech	bik	bik	b i k	
1341	H	beer	šör	šör	ʃ ø r	
1342	OH	beer	šer	šer	ʃ ɛ r	
1343	EAH	beer	šere	šere	ʃ ɛ r ɛ	
1344	WOT	beer	šire	šire	ʃ i r ɛ	
983	H	beggar	kolduš	kolduš	k o l d u ʃ	
984	EAH	beggar	koldu	koldu	k o l d u	
985	WOT	beggar	koldu	koldu	k o l d u	
986	H	beggar	kolduš	kolduš	k o l d u ʃ	
987	EAH	beggar	koldu	koldu	k o l d u	
988	WOT	beggar	kolduš	kolduš	k o l d u ʃ	
763	H	bell	hårång	hårång	h ɒ r ɒ n ɡ	
764	EAH	bell	hangar	hangar	h a n ɡ a r	
765	WOT	bell	χoŋar	χoŋar	χ o ŋ a r	
297	H	bison	bölēń	bölēń	b ø l eː ɲ	
298	OH	bison	belēń	belēń	b ɛ l eː ɲ	
299	EAH	bison	belen	belen	b ɛ l ɛ n	
300	WOT	bison	bülän	bülän	b y l ɛ n	
1031	H	blackthorn, Prunus spinosa	kökēń	kökēń	k ø k eː ɲ	
1032	EAH	blackthorn, Prunus spinosa	köken	köken	k ø k ɛ n	
1033	WOT	blackthorn, Prunus spinosa	kökän	kökän	k ø k ɛ n	
907	H	blue	kēk	kēk	k eː k	
908	EAH	blue	keyk	keyk	k ɛ j k	
909	WOT	blue	kȫk	kȫk	k øː k	
760	H	boat, ship	håyō	håyō	h ɒ j oː	
761	EAH	boat, ship	hayiγ	hayiγ	h a j i ɣ	
762	WOT	boat, ship	χayїγ	χayїγ	χ a j ɯ ɣ	
479	H	bobbin, spindle	čǖr	čǖr	t͡ʃ yː r	
480	OH	bobbin, spindle	čǖri	čǖri	t͡ʃ yː r i	
481	EAH	bobbin, spindle	čeviri	čeviri	t͡ʃ ɛ v i r i	
482	WOT	bobbin, spindle	čäviri	čäviri	t͡ʃ ɛ v i r i	
1055	H	book	köńv	köńv	k ø ɲ v	
1056	OH	book	köńüγ	köńüγ	k ø ɲ y ɣ	
1057	EAH	book	küńüγ	küńüγ	k y ɲ y ɣ	
1058	WOT	book	küńüγ	küńüγ	k y ɲ y ɣ	
1059	H	book	köńü	köńü	k ø ɲ y	
1060	OH	book	köńüγ	köńüγ	k ø ɲ y ɣ	
1061	EAH	book	küńüγ	küńüγ	k y ɲ y ɣ	
1062	WOT	book	küńüγ	küńüγ	k y ɲ y ɣ	
667	H	borderland, hedge	dʹepǖ	dʹepǖ	ɟ ɛ p yː	
668	OH	borderland, hedge	ǰepeü̯	ǰepeü̯	d͡ʒ ɛ p ɛ ɥ	
669	EAH	borderland, hedge	ǰepiγ	ǰepiγ	d͡ʒ ɛ p i ɣ	
670	WOT	borderland, hedge	ǰäpiγ	ǰäpiγ	d͡ʒ ɛ p i ɣ	
902	H	bosom, breast	kebel	kebel	k ɛ b ɛ l	
903	WOT	bosom, breast	käbäl	käbäl	k ɛ b ɛ l	
1050	H	breast strap	kentreg	kentreg	k ɛ n t r ɛ ɡ	
1051	OH	breast strap	köndrög	köndrög	k ø n d r ø ɡ	
1052	LAH	breast strap	kömdörök	kömdörök	k ø m d ø r ø k	
1053	EAH	breast strap	kömöndörök	kömöndörök	k ø m ø n d ø r ø k	
1054	WOT	breast strap	kömüldürük	kömüldürük	k ø m y l d y r y k	
853	H	bridle, reins	kåntār	kåntār	k ɒ n t aː r	
854	WOT	bridle, reins	kantar	kantar	k a n t a r	
1280	H	broom	šeprǖ	šeprǖ	ʃ ɛ p r yː	
1281	EAH	broom	šipiriγ	šipiriγ	ʃ i p i r i ɣ	
1282	WOT	broom	šipiriγ	šipiriγ	ʃ i p i r i ɣ	
1360	H	brother-in-law	šǖ	šǖ	ʃ yː	
1361	OH	brother-in-law	šiv	šiv	ʃ i v	
1362	EAH	brother-in-law	siγ	siγ	s i ɣ	
1363	WOT	brother-in-law	siγ	siγ	s i ɣ	
1364	H	brother-in-law	šüv	šüv	ʃ y v	
1365	OH	brother-in-law	šiv	šiv	ʃ i v	
1366	EAH	brother-in-law	siγ	siγ	s i ɣ	
1367	WOT	brother-in-law	siγ	siγ	s i ɣ	
1391	H	bucket, wooden pail (with a handle)	såpu	såpu	s ɒ p u	
1392	OH	bucket, wooden pail (with a handle)	sapū	sapū	s a p uː	
1393	LAH	bucket, wooden pail (with a handle)	sapau̯	sapau̯	s a p a w	
1394	EAH	bucket, wooden pail (with a handle)	sapaγ	sapaγ	s a p a ɣ	
1395	WOT	bucket, wooden pail (with a handle)	sapaγ	sapaγ	s a p a ɣ	
187	H	buckler with handle, handle of different arms	bōdå	bōdå	b oː d ɒ	
188	OH	buckler with handle, handle of different arms	boldå	boldå	b o l d ɒ	
189	EAH	buckler with handle, handle of different arms	baldaw	baldaw	b a l d a w	
190	WOT	buckler with handle, handle of different arms	baldaw	baldaw	b a l d a w	
168	H	bull	bikå	bikå	b i k ɒ	
169	EAH	bull	bika	bika	b i k a	
170	WOT	bull	bïka	bïka	b ɯ k a	
657	H	bulrush, Typha latifolia / angustifolia; matting made of bulrushes	dʹēkēń	dʹēkēń	ɟ eː k eː ɲ	
658	EAH	bulrush, Typha latifolia / angustifolia; matting made of bulrushes	ǰeken	ǰeken	d͡ʒ ɛ k ɛ n	
659	WOT	bulrush, Typha latifolia / angustifolia; matting made of bulrushes	ǰekän	ǰekän	d͡ʒ ɛ k ɛ n	
824	H	bulrush, club-rush, different plants like Schoenoplectus (Cyperaceæ)	kākå	kākå	k aː k ɒ	
825	WOT	bulrush, club-rush, different plants like Schoenoplectus (Cyperaceæ)	kakï	kakï	k a k ɯ	
204	H	burdock, Arctium sp.	boytoryān	boytoryān	b o j t o r j aː n	
205	EAH	burdock, Arctium sp.	balturγan	balturγan	b a l t u r ɣ a n	
206	WOT	burdock, Arctium sp.	balturgan	balturgan	b a l t u r ɡ a n	
1021	H	burn	kozmå	kozmå	k o z m ɒ	
1022	OH	burn	kosmā	kosmā	k o s m aː	
1023	EAH	burn	kasmaγ	kasmaγ	k a s m a ɣ	
1024	WOT	burn	kasmaγ	kasmaγ	k a s m a ɣ	
1693	H	bustard, Otis	tūzok	tūzok	t uː z o k	
1694	EAH	bustard, Otis	toγzak	toγzak	t o ɣ z a k	
1695	WOT	bustard, Otis	togδak	togδak	t o ɡ ð a k	
812	H	buttermilk	īrō	īrō	iː r oː	
813	OH	buttermilk	irō	irō	i r oː	
814	EAH	buttermilk	iraγ	iraγ	i r a ɣ	
815	WOT	buttermilk	ïraγ	ïraγ	ɯ r a ɣ	
229	H	calf	boryū	boryū	b o r j uː	
230	OH	calf	burγu	burγu	b u r ɣ u	
231	EAH	calf	buraγu	buraγu	b u r a ɣ u	
232	WOT	calf	buraγu	buraγu	b u r a ɣ u	
1597	H	camel	teve	teve	t ɛ v ɛ	
1598	EAH	camel	teve	teve	t ɛ v ɛ	
1599	WOT	camel	teve	teve	t ɛ v ɛ	
680	H	candle	dʹertʹå	dʹertʹå	ɟ ɛ r c ɒ	
681	EAH	candle	ǰarta	ǰarta	d͡ʒ a r t a	
682	WOT	candle	ǰarta	ǰarta	d͡ʒ a r t a	
4	H	cannon, catapult	ādʹū	ādʹū	aː ɟ uː	
5	OH	cannon, catapult	āldʹū	āldʹū	aː l ɟ uː	
6	LAH	cannon, catapult	aldau̯	aldau̯	a l d a w	
7	EAH	cannon, catapult	aldaγ	aldaγ	a l d a ɣ	
8	WOT	cannon, catapult	aldaγ	aldaγ	a l d a ɣ	
1	H	carpenter	āč	āč	aː t͡ʃ	
2	EAH	carpenter	aγači	aγači	a ɣ a t͡ʃ i	
3	WOT	carpenter	aγaččï	aγaččï	a ɣ a t͡ʃ t͡ʃ ɯ	
106	H	cattle, livestock	bårom	bårom	b ɒ r o m	
107	EAH	cattle, livestock	barum	barum	b a r u m	
108	WOT	cattle, livestock	barum	barum	b a r u m	
1130	H	cause, reason	ok	ok	o k	
1131	EAH	cause, reason	uk	uk	u k	
1132	WOT	cause, reason	uk	uk	u k	
1125	H	chaff, husks, winnowings, tailings, refuse of grain	očū	očū	o t͡ʃ uː	
1126	OH	chaff, husks, winnowings, tailings, refuse of grain	učū	učū	u t͡ʃ uː	
1127	LAH	chaff, husks, winnowings, tailings, refuse of grain	učou̯	učou̯	u t͡ʃ o w	
1128	EAH	chaff, husks, winnowings, tailings, refuse of grain	učoγ	učoγ	u t͡ʃ o ɣ	
1129	WOT	chaff, husks, winnowings, tailings, refuse of grain	učoγ	učoγ	u t͡ʃ o ɣ	
1407	H	chair, seat, bench, throne	sēk	sēk	s eː k	
1408	EAH	chair, seat, bench, throne	sekü	sekü	s ɛ k y	
1409	WOT	chair, seat, bench, throne	säkü	säkü	s ɛ k y	
1792	H	chamois, Rupicapra rupicapra	zerge	zerge	z ɛ r ɡ ɛ	
1793	EAH	chamois, Rupicapra rupicapra	serge	serge	s ɛ r ɡ ɛ	
1794	WOT	chamois, Rupicapra rupicapra	särgä	särgä	s ɛ r ɡ ɛ	
83	H	charm	bāy	bāy	b aː j	
84	EAH	charm	bay	bay	b a j	
85	WOT	charm	bay	bay	b a j	
1141	H	cheap	olčō	olčō	o l t͡ʃ oː	
1142	OH	cheap	ōčō	ōčō	oː t͡ʃ oː	
1143	LAH	cheap	učau̯	učau̯	u t͡ʃ a w	
1144	EAH	cheap	učaγ	učaγ	u t͡ʃ a ɣ	
1145	WOT	cheap	učaγ	učaγ	u t͡ʃ a ɣ	
1239	H	cheese	šåyt	šåyt	ʃ ɒ j t	
1240	OH	cheese	šaχt	šaχt	ʃ a χ t	
1241	EAH	cheese	čaγt	čaγt	t͡ʃ a ɣ t	
1242	WOT	cheese	čïγt	čïγt	t͡ʃ ɯ ɣ t	
1243	H	cheese	šåyt	šåyt	ʃ ɒ j t	
1244	OH	cheese	šaχt	šaχt	ʃ a χ t	
1245	EAH	cheese	čaγt	čaγt	t͡ʃ a ɣ t	
1246	WOT	cheese	čïgït	čïgït	t͡ʃ ɯ ɡ ɯ t	
896	H	chicory, Cichorium sp., Cichorium intybus	kåtāng	kåtāng	k ɒ t aː n ɡ	
897	EAH	chicory, Cichorium sp., Cichorium intybus	katāng	katāng	k a t aː n ɡ	
898	WOT	chicory, Cichorium sp., Cichorium intybus	kataŋ	kataŋ	k a t a ŋ	
674	H	child	dʹermek	dʹermek	ɟ ɛ r m ɛ k	
675	EAH	child	ǰärmäk	ǰärmäk	d͡ʒ ɛ r m ɛ k	
676	WOT	child	ǰärmäk	ǰärmäk	d͡ʒ ɛ r m ɛ k	
677	H	child	dʹermek	dʹermek	ɟ ɛ r m ɛ k	
678	EAH	child	ǰärmäk	ǰärmäk	d͡ʒ ɛ r m ɛ k	
