ID,Name,Concepticon_ID,Concepticon_Gloss
137_sexualorganoflargemaleanimalsofabullawhipmadefromit,"sexual organ of large male animals, of a bull; a whip made from it",,
139_tobecomesmallerremainsmalltoswaytotottertosprain,"to become smaller, remain small, to sway, to totter, tosprain",573,SWAY
141_fieldguardheraldturkishenvoy,field-guard; herald; Turkish envoy,,
143_towindtoturntodistrortmisinterprettospinayarn,"to wind, to turn, to distrort, misinterpret, to spin a yarn",1588,TURN
145_excellentworthless,excellent; worthless,,
148_gristgroatssofthail,"grist, groats, soft hail",,
152_noonsouth,"noon, south",12,MIDDAY
154_nutwalnutjuglans,"nut; walnut, Juglans",2042,WALNUT
155_pigsusdomestica,"pig, Sus domestica",1337,PIG
157_toleantoppleoverstreamdown,"to lean, topple over, stream down",3619,LEAN
159_tosqueezetothrustinto,"to squeeze, to thrust into",1414,SQUEEZE
161_churchbuildingandorganisation,church (building and organisation),1349,CHURCH
163_plough,plough,2154,PLOUGH (INSTRUMENT)
165_topropitiate,to propitiate,,
167_toarrivetoreachgetto,"to arrive, to reach, get to",1387,ARRIVE
169_moralsmorality,"morals, morality",,
171_strengthpower,"strength, power",2526,POWER
173_oath,oath,1712,OATH
176_rivernameofariver,"river, name of a river",666,RIVER
179_pelicanpelicanus,"pelican, Pelicanus",472,PELICAN
181_polecatputoriusfoetidus,"polecat, Putorius foetidus",,
183_gleanermousemusspicilegus,"gleaner mouse, Mus spicilegus",,
185_dragnetakindoffishingnet,"drag-net, a kind of fishing net",,
187_wool,wool,964,WOOL
190_toincreasetoputonweighttogrowstronger,"to increase, to put on weight, to grow stronger",1041,INCREASE
191_poorfrailfeeble,"poor, frail, feeble",1674,POOR
193_mourningbereavement,"mourning, bereavement",3673,MOURNING
195_weakfeeble,"weak, feeble",1601,WEAK
197_borderlandhedge,"borderland, hedge",,
200_child,child,2099,CHILD
201_candle,candle,1273,CANDLE
203_murderkiller,"murder, killer",845,MURDER
204_weed,weed,3288,WEED
205_stomach,stomach,819,STOMACH
207_toconfesssins,‘to confess (sins)’,,
209_pearl,pearl,3325,PEARL
211_toconquersomebodysomethingtriumphoversomebodysomethinggainvictory,"to conquer (somebody, something), triumph (over somebody, something), gain victory",3849,TRIUMPH
213_tokneadpug,"to knead, pug",274,KNEAD
215_tocollectgathersomething,"to collect,gather something",,
217_fruit,fruit,1507,FRUIT
219_akindoftreesimilartothemapleorcornelacertataricumcornussanguinea,"a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea",,
221_thimble,thimble,,
223_bell,bell,2246,BELL
225_sand,sand,671,SAND
227_timeweather,"time, weather",892,TIME
230_tobefrightenedtotakefright,"to be frightened, to take fright",,
231_twin,twin,1005,TWINS
233_tosuitsomethingtobepropertofitinto,"to suit something, to be proper, to fit into",,
235_shirt,shirt,1622,SHIRT
237_buttermilk,buttermilk,,
239_nameofanethnicgroupofiranianorigininhungary,name of an ethnic group of Iranian origin in Hungary,,
241_bulrushclubrushdifferentplantslikeschoenoplectuscyperace,"bulrush, club-rush, different plants like Schoenoplectus (Cyperaceæ)",,
243_guidepilotconductorticketinspector,"guide, pilot; conductor, ticket inspector",43,LEAD (GUIDE)
247_awaterplantstratiotesaloides,"a water plant, Stratiotes aloides",,
250_whiplash,"whip, lash",2630,WHIP
251_saddlestrap,saddle strap,,
253_measles,measles,3389,MEASLES
255_gate,gate,2940,GATE
257_damageloss,"damage, loss",2947,DAMAGE (INJURY)
259_sheepfoldcattlegridstockyardayardencircledbyafenceshedforanimals,"sheepfold, cattlegrid, stockyard, a yard encircled by a fence, shedfor animals",,
261_pinkseveralkindsofpinkdanthusdcaryophyllusseveralmembersofthecaryophillace,"pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ",3446,PINK
263_afishingwaterbirdwithblackfeatherscormorantphalacrocoraxcarbo,"a fishing water bird with black feathers, cormorant,Phalacrocorax carbo",840,CORMORANT
265_chicorycichoriumspcichoriumintybus,"chicory, Cichorium sp., Cichorium intybus",,
267_bosombreast,"bosom, breast",1402,BREAST
269_blue,blue,837,BLUE
271_hempcannabis,"hemp, Cannabis",2041,HEMP
273_pictureshapeform,"picture, shape, form",2401,PICTURE
275_akindofship,a kind of ship,,
277_cud,cud,,
279_vulturevultur,"vulture, Vultur",1185,VULTURE
283_small,small,1246,SMALL
284_smalllittle,"small, little",1246,SMALL
285_felt,felt,325,FELT
287_abirdsimilartoafalconakindofbirdofprey,"‘a bird similar to a falcon, a kind of bird of prey’",,
289_gourdcalabashlagenariavulgarisheadbillycockhat,"gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat",1256,HEAD
291_tobegtomendicate,"to beg, to mendicate",3534,BEG
293_beggar,beggar,1934,BEGGAR
295_timothygrassphleumphleumsp,"timothy-grass, phleum, Phleum sp.",,
297_gloomygravemorosesombredullcolourednotproperlycastrated,"gloomy, grave, morose, sombre, dull-coloured; not properly castrated",1773,GRAVE
299_ageperiod,"age, period",1789,AGE
301_drystalkofweed,dry stalk of weed,,
303_ram,ram,1344,RAM
306_frocksheepskinwaistcoat,"frock, sheepskin waistcoat",,
307_blackthornprunusspinosa,"blackthorn, Prunus spinosa",,
309_thenavelvariouspartsofagriculturalandotherinstrumentsaroundwhichsomethingturnsorrotatesorwhichisinthecentre,"the navel; various parts of agricultural and other instruments,around which something turns or rotates or which is in the centre",1838,NAVEL
311_pounderbeatersmallmortar,"pounder, beater, small mortar",2459,GRINDSTONE
314_book,book,963,BOOK
315_stumpyasmallthickman,"stumpy, a small, thick man",1246,SMALL
317_cloakgownovercoat,"cloak, gown, overcoat",326,CLOAK
319_ashtreefraxinussp,"ash tree, Fraxinus sp.",,
322_pearpyruscommunis,"pear, Pyrus communis",922,PEAR
323_togreettothank,"to greet, to thank",3552,GREET
325_akindofdogahungarianbreedofsheepdog,"a kind of dog, a Hungarian breed of sheepdog",,
327_afishlivingatthebottomoftherivergudgeongobiofluviatilis,"a fish living at the bottom of the river, gudgeon, Gobio fluviatilis",,
329_drysummerfograinbow,"dry summer fog, rainbow",1733,RAINBOW
331_chaffhuskswinnowingstailingsrefuseofgrain,"chaff, husks, winnowings, tailings, refuse of grain",2363,CHAFF (HUSK)
333_toteach,to teach,709,TEACH
335_cheap,cheap,1887,CHEAP
337_spermseminalfluid,"sperm, seminal fluid",1505,SPERM
339_crumbofbreadmorselasmallpieceofbread,"crumb (of bread), morsel, a small piece of bread",,
341_lion,lion,1386,LION
343_thief,thief,1160,THIEF
345_cuneinplayinostabla,cune in play in ostábla,,
347_tostitchtoputonadress,"to stitch, to put on a dress",,
349_totakeroottogrowstrongerplantanimal,"to take root, to grow stronger (plant, animal)",619,ANIMAL
351_millingproduct,milling product,,
353_eternal,eternal,,
355_tobecomemad,to become mad,,
360_whirlpooleddy,"whirlpool, eddy",1982,WHIRLPOOL
361_flooddelugestream,"flood, deluge, stream",947,STREAM
363_cheese,cheese,1569,CHEESE
366_yellow,yellow,1424,YELLOW
367_dragon,dragon,2038,DRAGON
369_atypeofwildonionornithogalum,"a type of wild onion, Ornithogalum",,
371_tent,tent,1316,TENT
373_tosweeptobroom,"to sweep, to broom",230,SWEEP
376_draffleesdregsofwine,"draff, lees, dregs of wine",,
377_toinjuretohurt,"to injure, to hurt",44,INJURE
379_anit,a nit,267,NIT
381_alsoshortsheavesusedtostrengthenathatchedroof,also short sheaves used to strengthen athatched roof,,
383_smoothsimit,"smooth, simít",1234,SMOOTH
385_springwellbrook,"spring, well, brook",1537,SPRINGTIME
388_falcon,falcon,3258,FALCON
390_dogwoodtreecornelcornus,"dogwood (tree), cornel, Cornus",,
391_beer,beer,1639,BEER
393_pikeperchzanderstizostedionlucioperca,"pike perch, zander, Stizostedion lucioperca",,
395_densethickofwoodsorsoup,"dense, thick (of woods or soup)",2239,DENSE
397_brotherinlaw,brother-in-law,2314,BROTHER-IN-LAW
399_uvulatherecurvedpointofafishinghookoralanceredwattleonachicken,"uvula, the recurved point of a fishing hook or a lance, red wattle on a chicken",2293,UVULA
401_raft,raft,1664,RAFT
403_tohavepityfortoregret,"to have pity for, to regret",1875,REGRET
405_trousseaubox,trousseau box,,
407_lightcolouredyellowishpalepartlybald,"light-coloured, yellowish, pale, (partly) bald",1125,BALD
409_grocergrandhandler,"grocer, grand handler",,
411_wind,wind,960,WIND
419_toslumbertodoze,"to slumber, to doze",,
421_frecklesunspotstain,"freckle, sun spot, stain",530,FRECKLE
423_fumesvapourspiritsalcoholhumours,"fumes, vapour, spirits, alcohol, humours",404,ALCOHOL (FERMENTED DRINK)
426_thinhideropestrapusedforembroideryorasawhiprefrozenthinlayerafterthemeltingofsnow,"thin hide rope, strap (used for embroidery or as a whip), refrozen thin layer after the melting of snow",2973,STRAP
427_rockcliffocciputcrestofmountain,"rock, cliff, occiput, crest (of mountain)",992,CLIFF
429_akindoffalconpielfalcusgyrfalco,"a kind of falcon, Pielfalcus, Gyrfalco",,
431_grasshopper,grasshopper,607,GRASSHOPPER
436_grapewinegrapevitisvinifer,"grape, wine grape, Vitis vinifer",920,GRAPE
437_mosquitognatculexpipens,"mosquito, gnat, Culex pipens",1509,MOSQUITO
439_toceasetostop,"to cease, to stop",1928,CEASE
441_virginpure,"virgin, pure",1147,PURE
443_advicecouncil,advice; council,,
445_tofeedtonourish,"to feed, to nourish",739,FEED
447_bald,bald,1125,BALD
449_ploughfieldarablefieldstubblefield,"plough field, arable field, stubble field",,
451_tatar,Tatar,,
453_nameofseveralkindsofplantseganemosphorosbuniasorientalisnapuscrambetataricastormwind,"name of several kinds of plants, e.g. Anemosphoros, Buniasorientalis, Napus, Crambe tatarica; storm wind",,
455_troughwashtubhutch,"trough, wash tub, hutch",205,TROUGH
457_apieceoflandfieldparcelpatchahigherplacewhereanimalsrestandaccumulatedung,"a piece of land, field, parcel, patch, a higher place where animals rest and accumulate dung",212,FIELD
459_axle,axle,1769,AXLE
462_toturntochangetheoriginaldirection,"to turn, to change the original direction",1588,TURN
463_knee,knee,1371,KNEE
465_camel,camel,1871,CAMEL
467_steeryoungbullockox,"steer, young bullock, ox",1169,OX
469_tolayeggs,to lay eggs,2464,LAY EGGS
471_oneyearoldlamb,one-year-old lamb,,
473_horseradisharmoraciarusticana,"horseradish, Armoracia rusticana",,
475_topileuptobecomeblocked,"to pile up, to become blocked",1576,PILE UP
477_slovak,Slovak,,
479_innumerable,innumerable,,
481_snaretrap,"snare, trap",1075,TRAP (PITFALL)
483_tohappentooccur,"to happen, to occur",248,HAPPEN
485_peatturfdrieddung,"peat, turf, dried dung",,
487_cottagecheesecheesecurds,"cottage cheese, cheese curds",,
489_bustardotis,"bustard, Otis",,
493_mirror,mirror,1171,MIRROR
495_torollupascrolloronessleeves,to roll up (a scroll or ones sleeves),,
497_owlstrix,"owl, Strix",735,OWL
499_torefreshoneselftoresttobecomecured,"to refresh oneself, to rest, to become cured",168,REST
501_heiferroedoe,"heifer, roe doe",,
503_groundsquirrelcitelluscitellus,"ground squirrel, Citellus citellus",,
505_wormwoodartemisiabitterness,"wormwood, Artemisia; bitterness",887,BITTER
508_hotembersextinguishedembers,"hot embers, extinguished embers",,
509_oneyearoldfemalesheep,one-year-old female sheep,,
511_troughtray,"trough, tray",205,TROUGH
514_aholeintheiceforfishing,a hole in the ice (for fishing),,
515_guest,guest,1782,GUEST
517_gablefrontispiece,"gable, frontispiece",,
